"التَعْليم","education"
"الرِّياضَة","sport"
"التَّاريخ","history"
"التَرِبية الدينيَّة","religious education"
"الجُغرافيا","geography"
"الكيمياء","chemistry"
"الموسيقى","music"
"الرَسْم","drawing/art"
"العَرَبيّة","Arabic (language)"
"الاِنجليزية","English (language)"
"الرياضيَّات","mathematics"
"مُحاضَرة","lecture"
"مُحاضَرات","lectures"
"كُلِّيّة","faculty/college"
"كُلِّيّات","faculties/colleges"
"مَكتَبة","library/bookshop"
"مَكتَبات","libraries/bookshops"
"أُستاذ","professor/lecturer"
"أَساتِذة","professors/lecturers"
"العُلوم","science"
"اللُّغات","languages"
"الطِّبّ","medicine"
"الهَندَسة","engineering"
"الحُقوق","law (academic study)"
"وَزير","minister"
"وُزَرَاء","ministers"
"وِزارة","ministry"
"وِزارات","ministries"
"أَمير","emir, prince"
"أُمَراء","emirs, princes"
"إِمارَة","emirate"
"إمارات","emirates"
"سَفير","ambassador"
"سُفَرَاء","ambassadors"
"سِفَارة","embassy"
"سِفَارات","embassies"
"رَئيس","president/chairman"
"رُؤَسَاء","presidents/chairmen"
"رِئاسَة","presidency/chair"
"رِئاسات","presidencies/chairs"
"زَعيم","leader"
"زُعَماء","leaders"
"زَعامة","leadership"
"زَعامات","leadership (plural)"
"وَكيل","agent"
"وُكَلاء","agents"
"وَكالة","agency"
"وَكالات","agencies"
"زَميل","colleague/associate"
"زُمَلاء","colleagues/associates"
"زَمالة","colleagueship"
"زَمالات","colleagueships"
"مُدير","manager"
"مُدَراء","managers"
"رَئيس الوُزَراء","the prime minister"
"مَجْلِس الوُزَراء","the Cabinet (council of ministers)"
"إلامارات العربيّة المتّحدة","the United Arab Emirates (UAE)"
"إلاِعْلان","advertising"
"شَرِكة","company (business)"
"شَرِكات","companies (businesses)"
"اِجْتِمَاع","meeting"
"اِجْتِمَاعات","meetings"
"مؤتَمَر","conference"
"مؤتَمَرات","conferences"
"الصِناعة","industry"
"الصِحَّة","health"
"خاصّ","private"
"مُختَلِف","different"
"حَياة","life"
"بِداية","beginning"
"الشَّعْب","the people"
"عامِل","worker"
"عُمّال","workers"
"بَدَأ/يَبْدَأ","to begin"
"عَرَف/يَعْرِف","to know"
"رَكِب/يَرْكَب","to ride (on)"
"حَتَّى","until"
"خارِج","outside of"
"بَلْ","but rather, instead"
