"نَحْنُ","we"
"هُمْ","they (m)"
"هُنَّ","they (f)"
"مُدَرِّس","teacher"
"مُحَاسِب","accountant"
"خَبَّاز","baker"
"مُمَرِّضَة","nurse"
"مُهَنْدِس","engineer"
"نَجَّار","carpenter"
"مُصَوِّر","photographer"
"طالِب","student"
"تِلْميذ","pupil"
"تَنِس","tennis"
"باص","bus"
"سينِما","cinema"
"بيتزا","pizza"
"شورت","shorts"
"بورجَر","burger"
"ما عَمَلك؟","What's your job?"
"أَيْنَ عَمَلك؟","Where's your job?"
"أَنا أَعْمَل في ...‏","I work in ..."
"مَكْتَب","an office"
"مُسْتَشْفَى","a hospital"
"مَطْعَم","a restaurant"
"مَصْنَع","a factory"
"أَنا أَدْرُس في ...‏","I study in ..."
"جامِعة ...‏","the University of ..."
"مَدْرَسَة في ...‏","a school in ..."
"كَذلِك","as well"
"ما شاءَ الله!‏","Wonderful!"
