"صِفْر", "zero"
"واحِد", "one"
"اِثْنان", "two"
"ثَلاثَة", "three"
"أرْبَعَة", "four"
"خَمْسَة", "five"
"سِتَّة", "six"
"سَبْعَة", "seven"
"ثَمانِيَة", "eight"
"تِسْعَة", "nine"
"عَشَرَة", "ten"
"كَمْ؟", "how many?"
"تِليفون", "telephone"
"رَقْم تِليفون", "telephone number"
"عُنْوان", "address"
"بِكَم؟", "how much?"
"جٌنَيْه", "Pound"
"رِيال", "Riyal"
"دينار", "Dinar"
"ليرة", "Lira"
"دِرْهَم", "Dirham"
"كيلو", "kilo"
"طَماطِم", "tomatoes"
"بَطاطِس", "potatoes"
"مَنْجَة", "mangoes"
"تُفَّاح", "apples"
"بُرْتُقَال", "oranges"
"مَوْز", "bananas"
"سوق", "market"
"صَندَل", "sandals"
"طَبْلة", "drum"
"قِلادة", "necklace"
"سَلّة", "basket"
"تي-شيرت", "T-shirt"
"طَبَق", "plate"
"ذَهَب", "gold"
"فِضّة", "silver"
"نُحاس", "copper"
"خَشَب", "wood"
"قُطْي", "cotton"
"جِلْد", "leather"
"زُجاج", "glass"
"حَرير", "silk"
"كُمْبيوتر", "computer"
"كِبْريت", "matches"
"بالونات", "balloons"
