"قَلَم", "pen"
"مِفْتاح", "key"
"كِتاب", "book"
"قَميص", "shirt"
"كَلْب", "dog"
"دَرَّاجة", "bicycle"
"سَيَّارة", "car"
"خاتِم", "ring"
"حَقيبة", "bag"
"وَلَد", "boy"
"خَفيف", "light (weight)"
"قَبيح", "ugly"
"جَديد", "new"
"مَكْسور", "broken"
"أَسْوَد", "black"
"ثَقيل", "heavy"
"جَميل", "beautiful"
"قَديم", "old"
"سَليم", "whole/unbroken"
"أَبْيَض", "white"
"‏...ـي", "my"
"‏...ـكَ", "your (m)"
"‏...ـكِ", "your (f)"
"‏...ـهُ", "his"
"‏...ـها", "her"
"ما اِسمك؟", "what's your name?"
"مَمكِن ...؟", "may I have ...?"
"أُريد ...‏", "I'd like ..."
"كُسْكُس", "couscous"
"دَجاج", "chicken"
"مِن فَضْلك", "please"
"شُكْراً", "thank you"
"تَفَضَّل/تَفَضَّلي", "here you are"
