"الشَّرْق ألاَوْسَط","The Middle East"
"ليبْيا","Libya"
"ليبيّ","Libyan"
"مِصْر","Egypt"
"مِصْريّ","Egyptian"
"السُّودان","Sudan"
"سُودَانّي","Sudanese"
"لُبْنان","Lebanon"
"لُبْنانّي","Lebanese"
"سورِيا","Syria"
"سوريّ","Syrian"
"العِرَق","Iraq"
"عِراقيّ","Iraqi"
"ألاُرْدُنّ","Jordan"
"أُرْدُنّي","Jordanian"
"السَّعوديّةّ","Saudi (Arabia)"
"سَعوديّ","Saudi"
"عُمان","Oman"
"عُمانّي","Omani"
"اليَمَن","Yemen"
"يَمَنيّ","Yemeni"
"أمْريكا","America"
"أمْريكيّ","American"
"الصِّين","China"
"صينيّ","Chinese"
"روسْيا","Russia"
"روسيّ","Russian"
"اليابان","Japan"
"يابانّي","Japanese"
"اِنجلْتَرا","England"
"اِنْجِليزيّ","English"
"فَرَنْسا","France"
"فَرَنْسيّ","French"
"أَلْمانيا","Germany"
"أَلْمانّي","German"
"أَسْبانيا","Spain"
"أَسْبانّي","Spanish"
"إيطالْيا","Italy"
"إيطاليّ","Italian"
"عاصِمة","capital (city)"
"دَوْلَة","country, state"
"جِنْسيّة","nationality"
"مِهْنة","profession"
"طَبيب","doctor"
"أَنْتُمْ","you (plural)"
"شَمال","north"
"جَنوب","south"
"غَرْب","west"
"شَرْق","east"
"مِنْ","from"
