arabic,english,tags
أسْتاذ,"professor, teacher",noun Occupations Chapter_1
أساتِذَة,"professors, teachers",noun Occupations Chapter_1
أيْضاً,"too, also",adv Common Chapter_1
بِـ,"on, in, by, with, for",prep Common Chapter_1 Chapter_3
تَعَلَّمَ,to learn,verb Chapter_1
جامِعَة,university,noun Education Chapter_1
جامِعات,universities,noun Education Chapter_1
جانِب,side,noun Chapter_1
جَدار,wall,noun Chapter_1
جُدْران,walls,noun Chapter_1
حَلَب,Aleppo,noun Places Chapter_1
رياضِيّات,"mathematics, calculus",noun Subjects Chapter_1
شّمْسِيّ,"of the sun, solar",adj Chapter_1
شَيْء,"thing, object",noun Common Chapter_1 Chapter_19
أشْياء,"things, objects",noun Common Chapter_1 Chapter_19
صَفّ,class,noun Education Chapter_1
صُفوف,classes,noun Education Chapter_1
طالِب,male student,noun Education Chapter_1
طُلاّب,male students,noun Education Chapter_1
طالِبة,female student,noun Education Chapter_1
طالِبات,female students,noun Education Chapter_1
عَلى,on,prep Common Chapter_1
غُرْفَة,room,noun Household Chapter_1
غُرَف,rooms,noun Household Chapter_1
عَفْواً,you’re welcome/excuse me,phrase Common Chapter_1 Chapter_3
قَمَريّ,"of the moon, lunar",adj Chapter_1
لكِنْ,but (weak version),conj Common Chapter_1
لكِنَّ,but (strong version),conj Common Chapter_1
لَوسَمَحْت,if you would; please,phrase Chapter_1
لَيْسَ,not,particle Common Chapter_1
مَحَلّ,"store, shop; place, location",noun Locations Chapter_1 Chapter_24
مَحَلات,"stores, shops; places, locations",noun Locations Chapter_1 Chapter_24
مَعَ,with (someone; not thing),prep Common Chapter_1 Chapter_4
مَوْجود,"found; existing, present",noun Chapter_1 Chapter_17
مَوْجودون,"found; existing, present (pl)",noun Chapter_1 Chapter_17
هُناكَ,"there, there is/are",pronoun Chapter_1
وَ,and,conj Chapter_1
أدَب,literature,noun Subjects Chapter_2
آداب,literature (pl),noun Subjects Chapter_2
أرْض,"ground, land",noun Chapter_2 Chapter_18
أراضٍ,"grounds, lands",noun Chapter_2 Chapter_18
أولائِكَ,"those (pl, dem)",pronoun Chapter_2
بَيْت,"house, home",noun Household Chapter_2
بُيوت,"houses, homes",noun Household Chapter_2
تانِكَ,"those (dual, nom)",pronoun Chapter_2
تحِبارة,"trade, business, commerce",noun Chapter_2
تِلكَ,"that (sing, nom)",pronoun Common Chapter_2
تَيْنِكَ,"those (dual, acc/gen)",pronoun Chapter_2
