"صَاحِب","friend/owner"
"أصْحِاب","friends/owners"
"سوق","market"
"أسْواق","markets"
"سِعْر","price"
"أَسْعار","prices"
"فيلم","film"
"أَفْلام","films"
"وَقْت","time"
"أَوْقات","times"
"عام","year"
"أَعْوام","years"
"عَلَم","flag"
"أَعْلام","flags"
"شَكل","shape, likeness"
"أَشْكال","shapes, likenesses"
"سَيْف","sword"
"سُيوف","swords"
"قَلْب","heart"
"قُلوب","hearts"
"مَلِك","king"
"مُلوك","kings"
"شَيْخ","sheikh"
"شُيوخ","sheikhs"
"شَمعة","candle"
"شُموع","candles"
"حَفْلة","party"
"حَفْلات","parties"
"كوب","glass, tumbler"
"أَكْواب","glasses, tumblers"
"طَبَق","plate"
"أَطْباق","plates"
"كيس","bag (plastic, etc.), sack"
"أَكْياس","bags, (plastic, etc.), sacks"
"قُبَّعَة","hat"
"قُبَّعَات","hats"
"سِرْوال","trousers (singular)"
"سَراويل","trousers (plural)"
"حِذاء","shoe"
"أَحْذِية","shoes"
"كولا","cola"
"بَلاَسْتيك","plastic"
"وَرَق","paper"
"مَوْقِع","[web]site"
"رائِع","great"
"أَفْضَل","best"
"أَيّ","which?/any"
"كُلّ","all/every"
"حَتَّى","until"
"هَؤلاءِ","these (for people only)"
"حاضِر","certainly"
"أُفَضِّل","I prefer"
"لَوْن","colour"
"أَلْوان","colours"
"أَبْيَض","white (m)"
"بَيْضَاء","white (f)"
"أَسْوَد","black (m)"
"سَوْدَاء","black (f)"
"أَخْضَر","green (m)"
"خَضْرَاء","green (f)"
"أَحْمَر","red (m)"
"حَمْرَاء","red (f)"
"أَزْرَق","blue (m)"
"زَرْقَاء","blue (f)"
"أَصْفَر","yellow (m)"
"صَفْراَء","yellow (f)"
