"العالم", "the world"
"قَارّة/قَارَّات", "continent"
"أَفريقيا", "Africa"
"آسيا", "Asia"
"بُرْج", "tower"
"أَبْراج", "towers"
"حَقْل", "field"
"حُقول", "fields"
"بِناء", "building/structure"
"صَحْراء", "desert"
"سَريع", "fast"
"حِلْو", "sweet"
"غَنيّ", "rich"
"فَقير", "poor"
"هَامّ", "important"
"رَخيص", "inexpensive/cheap"
"غالٍ", "expensive (m)"
"غالية", "expensive (f)"
"كَثير", "many/a lot"
"أَكْثَر", "more/most"
"أَفْضَل", "better/best"
"اِسْتِئْجار السيّارات", "car rental"
"مُمَثِّل", "actor"
"مُمَثِّلون", "actors"
"مُمَثِّلة", "actress"
"مُمَثِّلات", "actresses"
"جَدّ/جَدّة", "grandfather/grandmother"
"أُسْبُوع", "week"
"‏(يَوْم) السَّبْت", "Saturday"
"‏(يَوْم) الأحَد", "Sunday"
"‏(يَوْم) الاِثْنَيْن", "Monday"
"‏(يَوْم) الثُلاثَاء", "Tuesday"
"‏(يَوم) ألاَربِعَاء", "Wednesday"
"‏(يَوْم) الخَميس", "Thursday"
"‏(يَوْم) الجُمعَة", "Friday"
"بَعْدَ", "after"
"قَبْلَ", "before"
"الماضي", "the past"
"مُبْذُ", "since/ago"
"سَنَة", "year"
"سَنوات", "years"
"مُنْذُ عشرين سنة", "‎20 years ago"
"الْيَوْم", "today"
"آلان", "now"
"كان/يَكون", "to be"
"طار/يَطير", "to fly"
"باع/يَبيع", "to sell"
"قال/يَقول", "to say"
"زار/يَزور", "to visit"
"عاد/يََعود", "to go back/return"
"زاد/يَزيد", "to increase/go up (in price, etc.)"
"مَشى/يَمشي", "to walk"
"رَمى/يَرمي", "to throw"
"جَرى/يَجري", "to run"
"شَكا/يَشكو", "to complain"
