"عُلبَة", "box/tin/packet"
"عُلَب", "boxes/tins/packets"
"لُعبَة", "toy/game"
"لُعَب", "toys/games"
"تُحْفَة", "masterpiece/artefact"
"تُحَف", "masterpieces/artefacts"
"دَوْلَة", "nation/state"
"دُوَل", "nations/states"
"رِجُل", "man"
"رِجَال", "men"
"جَبَل", "mountain"
"جِبَال", "mountains"
"جَمَل", "camel"
"جِمِال", "camels"
"بَحْر", "sea"
"بِحَار", "seas"
"ريح", "wind"
"رِياح", "winds"
"حَال", "state/condition"
"أحوال", "states/conditions"
"الطَّقْس", "the weather"
"دَرَجة الحَرارة", "temperature ('degree of heat')"
"حَارّ", "hot"
"مُعْتَدِل", "mild/moderate"
"شَمْس", "sun"
"مُشْمِس", "sunny"
"غَيْم", "cloud"
"عُيوم", "clouds"
"غائِم", "cloudy/overcast"
"مَطَر", "rain"
"أَمْطار", "rain (plural)"
"مُمْطِر", "rainy"
"شَديد", "strong/heavy (e.g. rain)"
"فَتْرة", "period"
"فَتَرات", "periods"
"سَماء صافِية", "clear sky"
"رِحْلة", "trip/journey"
"رِحْلات", "trips/journeys"
"مُمْتِع", "enjoyable"
"لَذيذ", "tasty/delicious"
"يَوْم", "day"
"أَيّام", "days"
"آخِر يَوْم", "the last day"
"دَيْر", "monastery"
"أَدْيِرة", "monasteries"
"صَديق", "friend"
"أَصْدِقاء", "friends"
"فُنْدُق", "hotel"
"فَنادِق", "hotels"
"مَسْبَح", "swimming pool"
"مَسابِح", "swimming pools"
"شُروق الشَّمْس", "sunrise"
"ألاُسْبوع الماضي", "last week"
"نَزَل", "stayed"
"دَرَس", "studied"
"شاهَد", "watched/witnessed"
"عَزيزي/عَزيزَتي", "Dear ... (starting a letter)"
"مَع تَحِيَّاتي", "Best wishes (finishing a letter)"
"كَيْفَ", "how"
"كَيْف حَالَك/حَالِك؟", "How are you?"
"أحَد عَشَر", "eleven"
"اِشنا عَشَر", "twelve"
"ثلاثة عَشَر", "thirteen"
"أربعة عَشَر", "fourteen"
"خَمْسة عَشَر", "fifteen"
"سِتَّة عَشَر", "sixteen"
"سَبْعة عَشَر", "seventeen"
"ثَمانية عَشَر", "eighteen"
"تِسعَة عَشَر", "nineteen"
"عِشْرين", "twenty"
"ثلاثين", "thirty"
"أربعين", "forty"
"خَمسين", "fifty"
"ستِّين", "sixty"
"سَبْعين", "seventy"
"ثَمانين", "eighty"
"تِسعين", "ninety"
"مائة", "a hundred"
"صِفر", "zero"
