"شَهْر", "month"
"أَشْهُر/شُهور", "months"
"ينَايِر", "January"
"فِبرايِر", "February"
"مَارِس", "March"
"أَبريل", "April"
"مايُو", "May"
"يونيو", "June"
"يُوليو", "July"
"أَغُسْطُس", "August"
"سِبتَمبِر", "September"
"أُكتُوبَر", "October"
"نوفَمبِر", "November"
"ديسَمْبِر", "December"
"المُسْتَقْبَل", "the future"
"غَداً", "tomorrow"
"بَعْدَ غَد", "the day after tomorrow"
"أَوَّل أَمْس", "the day before yesterday"
"عيد ميلاد", "birthday"
"زِيارة", "visit (noun)"
"زِيارات", "visits (noun)"
"نائِب", "deputy"
"نُوّاب", "deputies"
"الاِقْتِصاد", "the economy"
"عُطْلة", "holiday"
"عُطَل", "holidays"
"دِراسة", "study (noun)"
"دِراسات", "studies (noun)"
"اِمْتِحان", "exam"
"اِمْتِحانات", "exams"
"خِطّة", "plan"
"خِطَط", "plans"
"حَضَر/يَحْضُر", "to attend"
"أَمَل/يَأْمَل", "to hope"
"سَأَل/يَسْأَل", "to ask"
"فَضَّل/يُفَضَّل", "to prefer"
"سَخَّن/يُسَخِّن", "to heat"
"صَلَّح/يُصَلِّح", "to mend/to fix"
"نَظَّف/يُنَظِّف", "to clean"
"دَرَّس/يُدَرِّس", "to teach"
"سافَر/يُسافِر", "to travel"
"قابَل/يُقابِل", "to meet"
"حاوَل/يُحاوِل", "to try/to attempt"
"اِسْتَقْبَل/يَسْتَقْبِل", "to receive (guests, etc.)"
"اِستَخَدَم/يَسْتَخْدِم", "to use"
"اِسْتَعْلَم/يَسْتَعْلِم", "to enquire"
"مَشْغول", "busy"
"رَسْميّ", "official"
"الريف", "the countryside"
"في الحَقيقة", "actually/in truth"
