"مَدينة", "town/city"
"بَنْك", "bank"
"مَدْرَسة", "school"
"شَجَر", "trees"
"هُناكَ", "there is/are"
"لَيْسَ هُناكَ", "there isn't/aren't"
"مَصْنَع", "factory"
"مُسْتَشْفَ", "hospital"
"شارِع", "street"
"غُرْفة", "room"
"شَقّة", "apartment"
"شُرْفة", "balcony"
"نَخْل", "palm trees"
"يَمين", "right"
"يَسار", "left"
"وَسَط", "centre"
"أَمام", "in front of"
"وَلكِن", "but"
"كَبير", "big"
"صَغير", "small"
"طَويل", "long/tall"
"قَصير", "short"
"ضَعيف", "weak"
"قَويّ", "strong"
"قَريب (مِن)‏", "near (to)"
"عَلَى طول", "straight on"
"خُذ/خُذي ...‏", "Take ..."
"أَوَّل شارِع", "the first street"
"ثاني شارِع", "the second street"
