"بَقَّال", "grocer"
"طَعام", "food"
"جُبْنَة", "cheese"
"حَليب", "milk"
"بَيْض", "eggs"
"زَيْت", "oil"
"خُبْز", "bread"
"عَصِير", "juice"
"أَرُزّ", "rice"
"سُكَّر", "sugar"
"مَكَرونَة", "macaroni"
"بَسْكَويت", "biscuits"
"كَعْك", "cake"
"مُسْحوق الغَسيل", "washing powder"
"مَعْجون ألاَسْنان", "toothpaste"
"صابون", "soap"
"شامْبو", "shampoo"
"أُنْبُوبَة", "tube"
"قِطْعَة", "piece"
"لَحْم", "meat"
"دَجاج", "chicken"
"سَمَط", "fish"
"حَمام", "pigeons/pigeon meat"
"بَصَل", "onions"
"خَضرَوات", "vegetables"
"فَواكِه", "fruit"
"بَطاطِس مُحَمَرَّة", "chips/fries"
"كَباب", "kebab"
"سَلَطَة", "salad"
"سَلَطَات", "salads"
"حَلَوِيّات", "desserts"
"آيس كِريم", "ice cream"
"شَاي", "tea"
"قَهْوَة", "coffee"
"لَوْز", "almonds"
"وَرْد", "roses"
"بارِد", "cold"
"شَهيّ", "delicious"
"مَقْليّ", "fried"
"مَشْويّ", "grilled"
"في الفُرْن", "in the oven/roasted"
"أَنا [لا] أُحِبّ", "I [don't] like"
"مُفَضَّل", "favourite"
"جَرسون", "waiter"
"تَحت أمْرَك/أمْرِك", "at your service (to a man/woman)"
"يا مَدام", "Madam"
"يا سَيِّجي", "Sir"
"أَعْطِني", "give me"
"آخُذ", "I'll have/I'll take"
"هَلْ تُجَرِّب؟", "will you try?"
"اللّه يسَلِّمك", "'May God keep you safe' - reply to goodbye (to a man/woman)"
"حِساب", "bill/account"
"حِسابات", "bills/accounts"
"خِدْمَة", "service"
"خِدْمَات", "services"
"مَجْموع", "total"
"مَجموعات", "totals"
"مَطْعَم", "restaurant"
"مَطاعِم", "restaurants"
"مَكْتَب", "office/desk"
"مَكاتِب", "offices/desks"
"مَتْحَف", "museum"
"مَتاحِف", "museums"
"مَجْلِس", "sitting area/council"
"مَجالِس", "sitting areas/councils"
"مَلْعَب", "playground/court/stadium"
"مَلاعِب", "playgrounds/courts/stadiums"
"مَعْرَض", "exhibition"
"مَعارِض", "exhibitions"
"مَخْبَز", "bakery"
"مَخابِز", "bakeries"
"مَطْبَخ", "kitchen"
"مَطابِخ", "kitchens"
"مَدخَل", "entrance"
"مَداخِل", "entrances"
"مَخْرَج", "exit"
"مَخارِج", "exits"
"مَسْجِد", "mosque"
"مَساجِد", "mosques"
"مَغْسَلَة", "laundry (singular)"
"مَغاسِل", "laundry (plural)"
