"لِصّ","thief/robber"
"لُصوص","thieves/robbers"
"سَرِقَة","theft/robbery"
"سَرِقات","thefts/robberies"
"تَحْقيق","investigation"
"تَحْقيقات","investigations"
"خِطاب","letter"
"خِطابات","letters"
"قَصْر","palace"
"قُصور","palaces"
"فِنْجان","cup"
"فَناجين","cups"
"كُولا","cola"
"مَاء","water"
"عَنْ","about/concerning"
"مَعَ","with"
"إلى","towards"
"مَلَكِيّ","royal"
"أَمْس","yesterday"
"صَبَاح","morning"
"مَسَاء","afternoon/evening"
"مَتى؟","when?"
"مَاذا؟","what? (+ verb)"
"خَرَج","went out/excited"
"ذَهَب","went"
"كَتَب","wrote"
"شَرِب","drank"
"أَكَل","ate"
"رَجَع","returned/went back"
"فَتَح","opened"
"جَلَس","sat down"
"سَمِع","heard"
"فَعَل","did/made"
"وَجَد","found"
"أَوّلاً","firstly"
"أَخيراً","finally"
"بَعْدَ ذلِكَ","after that"
"قَبْلَ ذلِكَ","before that"
"ثُمَّ","then"
"فَـ...‏","and/and so"
