"الشَّرْق ألاَوْسَط","The Middle East"
"ليبْيا/ليبيّ","Libya/Libyan"
"مِصْر/مِصْريّ","Egypt/Egyptian"
"السُّودان/سُودَانّي","Sudan/Sudanese"
"لُبْنان/لُبْنانّي","Lebanon/Lebanese"
"سورِيا/سوريّ","Syria/Syrian"
"العِرَق/عِراقيّ","Iraq/Iraqi"
"ألاُرْدُنّ/أُرْدُنّي","Jordan/Jordanian"
"السَّعوديّة/سَعوديّ","Saudi (Arabia)/Saudi"
"عُمان/عُمانّي","Oman/Omani"
"اليَمَن/يَمَنيّ","Yemen/Yemeni"
"أمْريكا/أمْريكيّ","America/American"
"الصِّين/صينيّ","China/Chinese"
"روسْيا/روسيّ","Russia/Russian"
"اليابان/يابانّي","Japan/Japanese"
"اِنجلْتَرا/اِنْجِليزيّ","England/English"
"فَرَنْسا/فَرَنْسيّ","France/French"
"أَلْمانيا/أَلْمانّي","Germany/German"
"أَسْبانيا/أَسْبانّي","Spain/Spanish"
"إيطالْيا/إيطاليّ","Italy/Italian"
"عاصِمة","capital (city)"
"دَوْلَة","country, state"
"جِنْسيّة","nationality"
"مِهْنة","profession"
"طَبيب","doctor"
"أَنْتُمْ","you (plural)"
"شَمال","north"
"جَنوب","south"
"غَرْب","west"
"شَرْق","east"
"مِنْ","from"
